Description,Currency_Time,Prerequisite_1,Remarks,Offline,Availability,Website,Local_Fees,Prerequisite_2_grade,City,Country,Course,Distance,Blended,Face_to_Face,Duration,Prerequisite_1_grade,Level_Code,Career_Outcomes,Faculty,Currency,Part_Time,Online,Prerequisite_2,Int_Fees,Full_Time,University,Duration_Time,Course_Lang,Prerequisite_3_grade,Prerequisite_3
"This Quick Start to the Certificate aims to provide an introduction to specialised topic areas that will enable students to gain an understanding of important issues relating to governance and risk management principles, frameworks and approaches. This Certificate allows students to complete the following online courses: You will be given access to the following online short courses: Governance and Risk ManagementAssessing, Analysing and Treating RiskRisk Management Frameworks Meeting Compliance Requirements There are no prerequisites required for entry to the Certificates, so anyone can study. If you don’t need the full Certificate, you can register for the short courses that suit your needs. The Certificate fee includes the four short courses scheduled above and: You may already be eligible for membership via our professional entry scheme. Apply for membership in advance to receive a discount of $110 per short course. That’s a saving of up to $440 for the Certificate. Find out if you are eligible. You can opt to complete the Certificate in Governance and Risk Management. You will receive: For more information and registration, please click here.",year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04193/certificate-in-governance-and-risk-management?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,"1,940.00 Member / 2,260.00 Subscriber / 2,380.00 Non-member",,Online,,Certificate in Governance and Risk Management,no,no,,14,,VOC,,Humanities and Social Science,AUD,yes,yes,,"1,940.00 Member / 2,260.00 Subscriber / 2,380.00 Non-member",yes,Governance Institute of Australia,Hours,English,,
"This Certificate provides the foundations of good governance and details the responsibilities of all stakeholders to ensure that a mechanism for monitoring the actions, policies and decisions of organisations is maintained. This Certificate allows students to complete the following online courses: You will be given access to the following online short courses: Governance EssentialsDuties of Officers and DirectorsFinancial Analysis for Officers and DirectorsAssessing, Analysing and Treating Risk Security Risk Legal Framework of Governance There are no prerequisites required for entry to the Certificates, so anyone can study. If you don’t need the full Certificate, you can register for the short courses that suit your needs. The Certificate fee includes the four short courses scheduled above and: To assist our students during the COVID-19 period of social restrictions, we are extending access to course materials and the exam for full Certificate enrolments from 30 to 60 days. You may already be eligible for membership via our professional entry scheme. Apply for membership in advance to receive a discount of $110 per short course. That’s a saving of up to $440 for the Certificate. Find out if you are eligible.",year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04195/certificate-in-governance-practice-intensive-?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,"2,910.00 Member / 3,390.00 Subscriber / 3,570.00 Non-member",,Online,,Certificate in Governance Practice,no,no,,21,,VOC,,Humanities and Social Science,AUD,yes,yes,,"2,910.00 Member / 3,390.00 Subscriber / 3,570.00 Non-member",yes,Governance Institute of Australia,Hours,English,,
"This Certificate aims to provide an introduction to specialised topic areas that will enable students to gain an understanding of important issues relating to governance and risk management principles, frameworks and approaches. This Certificate allows students to complete the following online courses: You will be given access to the following online short courses: Governance and Risk ManagementAssessing, Analysing and Treating RiskRisk Management Frameworks Meeting Compliance Requirements Business Continuity and Reputation Risk Project Governance: Accountability and Risk Management There are no prerequisites required for entry to the Certificates, so anyone can study. If you don’t need the full Certificate, you can register for the short courses that suit your needs. The Certificate fee includes the four short courses scheduled above and: To assist our students during the COVID-19 period of social restrictions, we are extending access to course materials and the exam for full Certificate enrolments from 30 to 60 days. You may already be eligible for membership via our professional entry scheme. Apply for membership in advance to receive a discount of $110 per short course. That’s a saving of up to $440 for the Certificate. Find out if you are eligible.",year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04196/certificate-in-governance-and-risk-management?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,"2,910.00 Member / 3,390.00 Subscriber / 3,570.00 Non-member",,Online,,Certificate in Governance and Risk Management,no,no,,21,,VOC,,Humanities and Social Science,AUD,yes,yes,,"2,910.00 Member / 3,390.00 Subscriber / 3,570.00 Non-member",yes,Governance Institute of Australia,Hours,English,,
"This Certificate provides a strong foundation for good governance, specifically recognising the requirements of NFP organisations. This Certificate allows students to complete the following online courses: You will be given access to the following online short courses: Governance EssentialsNot-for-Profit Officers, Directors and the BoardNot-for-Profit Regulatory Compliance Not-for-Profit Financial Management Risk Management Essentials Business Continuity and Reputation Risk There are no prerequisites required for entry to the Certificates, so anyone can study. If you don’t need the full Certificate, you can register for the short courses that suit your needs. The Certificate fee includes the four short courses scheduled above and: To assist our students during the COVID-19 period of social restrictions, we are extending access to course materials and the exam for full Certificate enrolments from 30 to 60 days. You may already be eligible for membership via our professional entry scheme. Apply for membership in advance to receive a discount of $110 per short course. That’s a saving of up to $440 for the Certificate. Find out if you are eligible.",year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04197/certificate-in-governance-for-not-for-profits?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,"2,910.00 Member / 3,390.00 Subscriber / 3,570.00 Non-member",,Online,,Certificate in Governance for Not-for-Profits,no,no,,21,,VOC,,Humanities and Social Science,AUD,yes,yes,,"2,910.00 Member / 3,390.00 Subscriber / 3,570.00 Non-member",yes,Governance Institute of Australia,Hours,English,,
"This Quick Start to the Certificate provides the foundations of good governance and details the responsibilities of all stakeholders to ensure that a mechanism for monitoring the actions, policies and decisions of organisations is maintained. This Certificate allows students to complete the following online courses: You will be given access to the following online short courses: Governance EssentialsDuties of Officers and DirectorsFinancial Analysis for Officers and DirectorsAssessing, Analysing and Treating Risk There are no prerequisites required for entry to the Certificates, so anyone can study. If you don’t need the full Certificate, you can register for the short courses that suit your needs. The Certificate fee includes the four short courses scheduled above and: You may already be eligible for membership via our professional entry scheme. Apply for membership in advance to receive a discount of $110 per short course. That’s a saving of up to $440 for the Certificate. Find out if you are eligible. You can opt to complete the Certificate in Governance Practice. You will receive: For more information and registration, please click here.",year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04191/certificate-in-governance-practice-quick-star?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,"1,940.00 Member / 2,260.00 Subscriber / 2,380.00 Non-member",,Online,,Certificate in Governance Practice,no,no,,14,,VOC,,Humanities and Social Science,AUD,yes,yes,,"1,940.00 Member / 2,260.00 Subscriber / 2,380.00 Non-member",yes,Governance Institute of Australia,Hours,English,,
"This Quick Start to the Certificate provides a strong foundation for good governance, specifically recognising the requirements of NFP organisations. This Certificate allows students to complete the following online courses: You will be given access to the following online short courses: Governance EssentialsNot-for-Profit Officers, Directors and the BoardNot-for-Profit Regulatory Compliance Not-for-Profit Financial Management There are no prerequisites required for entry to the Certificates, so anyone can study. If you don’t need the full Certificate, you can register for the short courses that suit your needs. The Certificate fee includes the four short courses scheduled above and: You may already be eligible for membership via our professional entry scheme. Apply for membership in advance to receive a discount of $110 per short course. That’s a saving of up to $440 for the Certificate. Find out if you are eligible. You can opt to complete the Certificate in Governance for Not-for-Profits. You will receive: For more information and registration, please click here.",year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04192/certificate-in-governance-for-not-for-profits?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,"1,940.00 Member / 2,260.00 Subscriber / 2,380.00 Non-member",,Online,,Certificate in Governance for Not-for-Profits,no,no,,14,,VOC,,Humanities and Social Science,AUD,yes,yes,,"1,940.00 Member / 2,260.00 Subscriber / 2,380.00 Non-member",yes,Governance Institute of Australia,Hours,English,,
"Designed for those who will be involved in making strategic decisions, this half-day course delivers an essential overview of the Australian Security Risk Standard in the context of data security and emerging technologies. This course provides participants with: Who should attend this course? View the course outline   Members of Governance Institute receive a discount of up to $110 per subject — find out if you are eligible.",year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04142/security-risk?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Online,,Security Risk,no,no,,3.5,,VOC,,Computer Science & Information Technology,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"Examine the importance of managing and mitigating the impact of risk within an organisation. This practical course will provide you with: This is an interactive course recommended for those who have risk responsibilities in their role (and are looking to consolidate or refresh their knowledge), or those wishing to move into the risk field. Who should attend this event? View the course outline  Members of Governance Institute receive a discount of up to $110 per short course — find out if you are eligible.",year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03704/assessing-analysing-and-treating-risk?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Online,,"Assessing, Analysing and Treating Risk",no,no,,3.5,,VOC,,Business & Commerce & Finance & Accounting,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"This half-day course provides senior managers and directors with essential WHS information. Expert presenters share relevant case studies, and the course covers: Who should attend? View the course outline   Members of Governance Institute receive a discount of up to $110 per short course — find out if you are eligible.",year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03705/whs-due-diligence?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Online,,WHS Due Diligence,no,no,,3.5,,VOC,,Business & Commerce & Finance & Accounting,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
A half-day course delivering practical information on managing risk within your organisation’s regulatory and governance frameworks. This course provides participants with: Who should attend this event? View the course outline   Members of Governance Institute receive a discount of up to $110 per short course — find out if you are eligible.,year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03706/risk-management-frameworks?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,385.00 Member / 465.00 Subscriber / 495.00 Non-member,,Online,,Risk Management Frameworks,no,no,,3.5,,VOC,,Business & Commerce & Finance & Accounting,AUD,yes,yes,,385.00 Member / 465.00 Subscriber / 495.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
